Estacion,Año,Mes,Dia,PM10
ComandoPolicíaAtalaya,2020,12,10,43.184
ComandoPolicíaAtalaya,2020,12,08,39.092
ComandoPolicíaAtalaya,2020,12,03,32.768
ComandoPolicíaAtalaya,2020,12,01,35.217
ComandoPolicíaAtalaya,2020,11,26,39.544
ComandoPolicíaAtalaya,2020,11,24,45.171
ComandoPolicíaAtalaya,2020,11,19,41.44
ComandoPolicíaAtalaya,2020,11,17,30.72
ComandoPolicíaAtalaya,2020,11,12,44.325
ComandoPolicíaAtalaya,2020,11,10,36.994
ComandoPolicíaAtalaya,2020,11,05,40.164
ComandoPolicíaAtalaya,2020,11,03,22.618
ComandoPolicíaAtalaya,2020,10,29,38.834
ComandoPolicíaAtalaya,2020,10,27,37.85
ComandoPolicíaAtalaya,2020,10,22,27.016
ComandoPolicíaAtalaya,2020,10,20,41.893
ComandoPolicíaAtalaya,2020,10,15,45.409
ComandoPolicíaAtalaya,2020,10,13,31.068
ComandoPolicíaAtalaya,2020,10,08,30.212
ComandoPolicíaAtalaya,2020,10,06,30.83
ComandoPolicíaAtalaya,2020,10,01,41.492
ComandoPolicíaAtalaya,2020,09,29,23.55
ComandoPolicíaAtalaya,2020,09,24,22.77
ComandoPolicíaAtalaya,2020,09,22,39.22
ComandoPolicíaAtalaya,2020,09,17,40.09
ComandoPolicíaAtalaya,2020,09,15,45.55
ComandoPolicíaAtalaya,2020,09,10,35.31
ComandoPolicíaAtalaya,2020,09,08,39.25
ComandoPolicíaAtalaya,2020,09,03,36.06
ComandoPolicíaAtalaya,2020,09,01,46.55
ComandoPolicíaAtalaya,2020,08,27,35.53
ComandoPolicíaAtalaya,2020,08,25,18.07
ComandoPolicíaAtalaya,2020,08,20,33.53
ComandoPolicíaAtalaya,2020,08,18,31.23
ComandoPolicíaAtalaya,2020,08,13,16.26
ComandoPolicíaAtalaya,2020,08,11,30.16
ComandoPolicíaAtalaya,2020,08,06,23.46
ComandoPolicíaAtalaya,2020,08,04,19.32
ComandoPolicíaAtalaya,2020,07,31,19.35
ComandoPolicíaAtalaya,2020,07,28,51.63
ComandoPolicíaAtalaya,2020,07,24,15.5
ComandoPolicíaAtalaya,2020,07,21,15.28
